run,bus_id,station,time,duration,direction
1,2,X01,417,44,1
1,0,X09,799,51,1
1,4,X02,886,47,1
1,1,X14,910,45,0
1,4,X03,1030,52,1
1,1,X13,1033,55,0
1,1,X12,1150,50,0
1,5,X18,1274,47,0
1,3,X13,1347,46,0
1,6,X03,1368,45,1
1,3,X12,1452,56,0
1,3,X11,1582,55,0
1,4,X11,1757,59,1
1,8,X04,1837,45,1
1,10,X01,1855,52,1
1,3,X09,1873,59,0
1,4,X12,1878,59,1
1,9,X18,2011,58,0
1,4,X13,2018,59,1
1,0,X18,2021,42,1
1,5,X10,2056,50,0
1,10,X03,2097,55,1
1,4,X14,2187,58,1
1,10,X05,2297,53,1
1,4,X15,2328,57,1
1,11,X18,2328,49,0
1,12,X02,2339,44,1
1,10,X06,2428,45,1
1,1,X01,2507,53,0
1,6,X14,2508,57,1
1,7,X09,2529,59,0
1,6,X15,2643,56,1
1,5,X06,2655,52,0
1,9,X11,2657,41,0
1,7,X08,2676,50,0
1,10,X09,2693,58,1
1,14,X03,2769,59,1
1,6,X16,2783,59,1
1,4,X19,2867,41,1
1,14,X04,2890,59,1
1,6,X17,2919,58,1
1,1,X01,2944,49,1
1,7,X06,2954,54,0
1,13,X16,3008,53,0
1,14,X05,3009,59,1
1,6,X18,3065,56,1
1,7,X05,3068,59,0
1,10,X11,3110,44,1
1,2,X20,3144,53,0
1,14,X06,3155,59,1
1,7,X04,3273,55,0
1,11,X09,3280,59,0
1,14,X07,3280,48,1
1,3,X01,3304,45,1
1,1,X05,3339,53,1
1,6,X20,3370,59,1
1,12,X11,3406,59,1
1,11,X08,3409,55,0
1,3,X02,3417,51,1
1,1,X06,3474,54,1
1,12,X12,3540,56,1
1,1,X07,3583,57,1
1,9,X04,3596,42,0
1,2,X17,3602,41,0
1,13,X09,3609,47,0
1,14,X11,3695,51,1
1,9,X03,3709,58,0
1,10,X18,3716,59,1
1,1,X08,3751,45,1
1,14,X12,3829,57,1
1,13,X07,3846,57,0
1,10,X19,3848,59,1
1,5,X03,3875,59,1
1,2,X14,3895,51,0
1,13,X06,3994,56,0
1,11,X03,4006,51,0
1,5,X04,4012,41,1
1,10,X20,4019,58,1
1,13,X05,4140,45,0
1,12,X19,4207,41,1
1,8,X20,4246,59,0
1,1,X13,4298,58,1
1,12,X20,4311,57,1
1,0,X06,4328,58,0
1,8,X19,4379,56,0
1,5,X08,4389,57,1
1,7,X05,4455,53,1
1,1,X14,4490,57,1
1,5,X09,4523,45,1
1,8,X18,4531,58,0
1,6,X15,4565,56,0
1,0,X04,4617,59,0
1,5,X10,4638,59,1
1,0,X03,4733,59,0
1,5,X11,4766,52,1
1,0,X02,4872,59,0
1,9,X06,4909,51,1
1,6,X12,4915,47,0
1,3,X15,4917,56,1
1,12,X20,4965,58,0
1,10,X16,5069,41,0
1,7,X11,5074,53,1
1,10,X15,5194,58,0
1,7,X12,5226,49,1
1,10,X14,5318,55,0
1,5,X16,5348,57,1
1,7,X13,5386,44,1
1,4,X04,5408,44,0
1,2,X01,5424,54,0
1,11,X08,5488,58,1
1,5,X17,5491,50,1
1,9,X12,5516,41,1
1,4,X03,5533,47,0
1,14,X18,5564,58,0
1,5,X18,5612,57,1
1,10,X12,5615,45,0
1,9,X13,5668,56,1
1,0,X03,5672,55,1
1,1,X20,5687,48,0
1,12,X13,5747,53,0
1,9,X14,5839,56,1
1,13,X10,6045,58,1
1,7,X19,6059,42,1
1,12,X11,6072,54,0
1,10,X08,6077,45,0
1,9,X16,6084,52,1
1,11,X14,6116,53,1
1,3,X19,6145,47,0
1,8,X04,6149,59,0
1,2,X04,6150,59,1
1,13,X11,6177,43,1
1,12,X10,6221,51,0
1,14,X12,6239,58,0
1,11,X15,6252,55,1
1,8,X03,6284,59,0
1,2,X05,6291,55,1
1,14,X11,6402,53,0
1,9,X20,6487,50,1
1,11,X17,6589,48,1
1,4,X05,6607,51,1
1,10,X03,6615,44,0
1,5,X18,6627,49,0
1,14,X09,6693,49,0
1,4,X06,6724,53,1
1,10,X02,6726,51,0
1,1,X10,6809,57,0
1,10,X01,6890,58,0
1,13,X17,6923,58,1
1,6,X05,6941,50,1
