time,station,direction,buses
51,X01,1,"(0, 0)"
52,X01,1,"(0, 0)"
53,X01,1,"(0, 0)"
54,X01,1,"(0, 0)"
55,X01,1,"(0, 0)"
56,X01,1,"(0, 0)"
183,X02,1,"(0, 0)"
184,X02,1,"(0, 0)"
185,X02,1,"(0, 0)"
186,X02,1,"(0, 0)"
187,X02,1,"(0, 0)"
188,X02,1,"(0, 0)"
247,X20,0,"(1, 1)"
248,X20,0,"(1, 1)"
249,X20,0,"(1, 1)"
250,X20,0,"(1, 1)"
251,X20,0,"(1, 1)"
252,X20,0,"(1, 1)"
253,X20,0,"(1, 1)"
254,X20,0,"(1, 1)"
255,X20,0,"(1, 1)"
256,X20,0,"(1, 1)"
257,X20,0,"(1, 1)"
258,X20,0,"(1, 1)"
259,X20,0,"(1, 1)"
260,X20,0,"(1, 1)"
261,X20,0,"(1, 1)"
262,X20,0,"(1, 1)"
263,X20,0,"(1, 1)"
264,X20,0,"(1, 1)"
274,X03,1,"(0, 0)"
275,X03,1,"(0, 0)"
276,X03,1,"(0, 0)"
277,X03,1,"(0, 0)"
278,X03,1,"(0, 0)"
279,X03,1,"(0, 0)"
280,X03,1,"(0, 0)"
281,X03,1,"(0, 0)"
282,X03,1,"(0, 0)"
283,X03,1,"(0, 0)"
284,X03,1,"(0, 0)"
285,X03,1,"(0, 0)"
335,X04,1,"(0, 0)"
336,X04,1,"(0, 0)"
337,X04,1,"(0, 0)"
338,X04,1,"(0, 0)"
339,X04,1,"(0, 0)"
340,X04,1,"(0, 0)"
341,X04,1,"(0, 0)"
342,X04,1,"(0, 0)"
343,X04,1,"(0, 0)"
344,X19,0,"(1, 1)"
344,X04,1,"(0, 0)"
345,X19,0,"(1, 1)"
345,X04,1,"(0, 0)"
346,X19,0,"(1, 1)"
346,X04,1,"(0, 0)"
347,X04,1,"(0, 0)"
347,X19,0,"(1, 1)"
348,X04,1,"(0, 0)"
348,X19,0,"(1, 1)"
349,X19,0,"(1, 1)"
349,X04,1,"(0, 0)"
350,X04,1,"(0, 0)"
350,X19,0,"(1, 1)"
351,X19,0,"(1, 1)"
352,X19,0,"(1, 1)"
353,X19,0,"(1, 1)"
354,X19,0,"(1, 1)"
355,X19,0,"(1, 1)"
356,X19,0,"(1, 1)"
357,X19,0,"(1, 1)"
358,X19,0,"(1, 1)"
359,X19,0,"(1, 1)"
360,X19,0,"(1, 1)"
361,X19,0,"(1, 1)"
362,X19,0,"(1, 1)"
363,X19,0,"(1, 1)"
409,X05,1,"(0, 0)"
410,X05,1,"(0, 0)"
411,X05,1,"(0, 0)"
412,X05,1,"(0, 0)"
413,X05,1,"(0, 0)"
414,X05,1,"(0, 0)"
415,X05,1,"(0, 0)"
416,X05,1,"(0, 0)"
417,X05,1,"(0, 0)"
418,X05,1,"(0, 0)"
419,X05,1,"(0, 0)"
420,X05,1,"(0, 0)"
421,X05,1,"(0, 0)"
421,X01,1,"(2, 2)"
422,X05,1,"(0, 0)"
422,X01,1,"(2, 2)"
423,X05,1,"(0, 0)"
423,X01,1,"(2, 2)"
424,X05,1,"(0, 0)"
424,X01,1,"(2, 2)"
425,X01,1,"(2, 2)"
425,X05,1,"(0, 0)"
426,X01,1,"(2, 2)"
426,X05,1,"(0, 0)"
427,X01,1,"(2, 2)"
427,X05,1,"(0, 0)"
428,X01,1,"(2, 2)"
428,X05,1,"(0, 0)"
429,X01,1,"(2, 2)"
430,X01,1,"(2, 2)"
431,X01,1,"(2, 2)"
432,X01,1,"(2, 2)"
433,X01,1,"(2, 2)"
434,X01,1,"(2, 2)"
487,X06,1,"(0, 0)"
488,X06,1,"(0, 0)"
489,X06,1,"(0, 0)"
490,X06,1,"(0, 0)"
490,X18,0,"(1, 1)"
491,X18,0,"(1, 1)"
491,X06,1,"(0, 0)"
492,X06,1,"(0, 0)"
492,X18,0,"(1, 1)"
493,X06,1,"(0, 0)"
493,X18,0,"(1, 1)"
494,X06,1,"(0, 0)"
494,X18,0,"(1, 1)"
495,X06,1,"(0, 0)"
495,X18,0,"(1, 1)"
496,X18,0,"(1, 1)"
496,X06,1,"(0, 0)"
497,X18,0,"(1, 1)"
497,X06,1,"(0, 0)"
498,X06,1,"(0, 0)"
498,X18,0,"(1, 1)"
499,X06,1,"(0, 0)"
499,X02,1,"(2, 2)"
499,X18,0,"(1, 1)"
500,X02,1,"(2, 2)"
500,X06,1,"(0, 0)"
500,X18,0,"(1, 1)"
501,X02,1,"(2, 2)"
501,X18,0,"(1, 1)"
501,X06,1,"(0, 0)"
502,X06,1,"(0, 0)"
502,X18,0,"(1, 1)"
502,X02,1,"(2, 2)"
503,X18,0,"(1, 1)"
503,X02,1,"(2, 2)"
504,X18,0,"(1, 1)"
504,X02,1,"(2, 2)"
505,X18,0,"(1, 1)"
505,X02,1,"(2, 2)"
506,X18,0,"(1, 1)"
506,X02,1,"(2, 2)"
507,X18,0,"(1, 1)"
507,X02,1,"(2, 2)"
508,X18,0,"(1, 1)"
508,X02,1,"(2, 2)"
509,X02,1,"(2, 2)"
509,X18,0,"(1, 1)"
510,X02,1,"(2, 2)"
510,X18,0,"(1, 1)"
511,X02,1,"(2, 2)"
511,X18,0,"(1, 1)"
512,X02,1,"(2, 2)"
512,X18,0,"(1, 1)"
513,X18,0,"(1, 1)"
514,X18,0,"(1, 1)"
515,X18,0,"(1, 1)"
555,X07,1,"(0, 0)"
556,X07,1,"(0, 0)"
557,X07,1,"(0, 0)"
558,X07,1,"(0, 0)"
559,X07,1,"(0, 0)"
560,X07,1,"(0, 0)"
561,X07,1,"(0, 0)"
562,X07,1,"(0, 0)"
563,X07,1,"(0, 0)"
564,X07,1,"(0, 0)"
565,X07,1,"(0, 0)"
566,X07,1,"(0, 0)"
598,X03,1,"(2, 2)"
599,X03,1,"(2, 2)"
600,X03,1,"(2, 2)"
601,X03,1,"(2, 2)"
602,X03,1,"(2, 2)"
603,X03,1,"(2, 2)"
604,X03,1,"(2, 2)"
605,X03,1,"(2, 2)"
606,X03,1,"(2, 2)"
607,X03,1,"(2, 2)"
608,X03,1,"(2, 2)"
609,X03,1,"(2, 2)"
610,X03,1,"(2, 2)"
611,X03,1,"(2, 2)"
612,X03,1,"(2, 2)"
613,X03,1,"(2, 2)"
614,X20,0,"(3, 3)"
615,X17,0,"(1, 1)"
615,X20,0,"(3, 3)"
616,X17,0,"(1, 1)"
616,X20,0,"(3, 3)"
617,X20,0,"(3, 3)"
617,X17,0,"(1, 1)"
618,X17,0,"(1, 1)"
618,X20,0,"(3, 3)"
619,X08,1,"(0, 0)"
619,X20,0,"(3, 3)"
619,X17,0,"(1, 1)"
620,X17,0,"(1, 1)"
620,X08,1,"(0, 0)"
620,X20,0,"(3, 3)"
621,X17,0,"(1, 1)"
621,X20,0,"(3, 3)"
621,X08,1,"(0, 0)"
622,X17,0,"(1, 1)"
622,X20,0,"(3, 3)"
622,X08,1,"(0, 0)"
623,X17,0,"(1, 1)"
623,X20,0,"(3, 3)"
623,X08,1,"(0, 0)"
624,X08,1,"(0, 0)"
624,X20,0,"(3, 3)"
624,X17,0,"(1, 1)"
625,X08,1,"(0, 0)"
625,X20,0,"(3, 3)"
625,X17,0,"(1, 1)"
626,X17,0,"(1, 1)"
626,X08,1,"(0, 0)"
626,X20,0,"(3, 3)"
627,X08,1,"(0, 0)"
627,X17,0,"(1, 1)"
627,X20,0,"(3, 3)"
628,X17,0,"(1, 1)"
628,X20,0,"(3, 3)"
628,X08,1,"(0, 0)"
629,X17,0,"(1, 1)"
629,X08,1,"(0, 0)"
629,X20,0,"(3, 3)"
630,X17,0,"(1, 1)"
630,X08,1,"(0, 0)"
630,X20,0,"(3, 3)"
631,X20,0,"(3, 3)"
631,X17,0,"(1, 1)"
632,X17,0,"(1, 1)"
632,X20,0,"(3, 3)"
633,X20,0,"(3, 3)"
633,X17,0,"(1, 1)"
634,X20,0,"(3, 3)"
634,X17,0,"(1, 1)"
635,X20,0,"(3, 3)"
635,X17,0,"(1, 1)"
636,X17,0,"(1, 1)"
636,X20,0,"(3, 3)"
637,X20,0,"(3, 3)"
637,X17,0,"(1, 1)"
638,X17,0,"(1, 1)"
639,X17,0,"(1, 1)"
640,X17,0,"(1, 1)"
678,X04,1,"(2, 2)"
679,X04,1,"(2, 2)"
680,X04,1,"(2, 2)"
681,X04,1,"(2, 2)"
682,X04,1,"(2, 2)"
683,X04,1,"(2, 2)"
684,X04,1,"(2, 2)"
685,X04,1,"(2, 2)"
686,X04,1,"(2, 2)"
687,X04,1,"(2, 2)"
695,X09,1,"(0, 0)"
696,X09,1,"(0, 0)"
697,X09,1,"(0, 0)"
698,X09,1,"(0, 0)"
699,X09,1,"(0, 0)"
700,X09,1,"(0, 0)"
701,X09,1,"(0, 0)"
702,X19,0,"(3, 3)"
702,X09,1,"(0, 0)"
703,X09,1,"(0, 0)"
703,X19,0,"(3, 3)"
704,X09,1,"(0, 0)"
704,X19,0,"(3, 3)"
705,X19,0,"(3, 3)"
705,X09,1,"(0, 0)"
706,X09,1,"(0, 0)"
706,X19,0,"(3, 3)"
707,X09,1,"(0, 0)"
707,X19,0,"(3, 3)"
708,X09,1,"(0, 0)"
708,X19,0,"(3, 3)"
709,X19,0,"(3, 3)"
709,X09,1,"(0, 0)"
710,X19,0,"(3, 3)"
710,X09,1,"(0, 0)"
711,X19,0,"(3, 3)"
712,X19,0,"(3, 3)"
713,X19,0,"(3, 3)"
714,X19,0,"(3, 3)"
714,X16,0,"(1, 1)"
715,X19,0,"(3, 3)"
715,X16,0,"(1, 1)"
716,X19,0,"(3, 3)"
716,X16,0,"(1, 1)"
717,X19,0,"(3, 3)"
717,X16,0,"(1, 1)"
