time,station,direction,buses
61,X01,1,"(0, 0)"
62,X01,1,"(0, 0)"
63,X01,1,"(0, 0)"
64,X01,1,"(0, 0)"
65,X01,1,"(0, 0)"
66,X01,1,"(0, 0)"
152,X02,1,"(0, 0)"
153,X02,1,"(0, 0)"
154,X02,1,"(0, 0)"
155,X02,1,"(0, 0)"
156,X02,1,"(0, 0)"
157,X02,1,"(0, 0)"
158,X02,1,"(0, 0)"
159,X02,1,"(0, 0)"
245,X03,1,"(0, 0)"
246,X03,1,"(0, 0)"
247,X03,1,"(0, 0)"
248,X03,1,"(0, 0)"
249,X03,1,"(0, 0)"
250,X03,1,"(0, 0)"
251,X03,1,"(0, 0)"
252,X03,1,"(0, 0)"
253,X03,1,"(0, 0)"
254,X03,1,"(0, 0)"
255,X03,1,"(0, 0)"
256,X20,0,"(1, 1)"
256,X03,1,"(0, 0)"
257,X20,0,"(1, 1)"
258,X20,0,"(1, 1)"
259,X20,0,"(1, 1)"
260,X20,0,"(1, 1)"
261,X20,0,"(1, 1)"
262,X20,0,"(1, 1)"
263,X20,0,"(1, 1)"
264,X20,0,"(1, 1)"
265,X20,0,"(1, 1)"
266,X20,0,"(1, 1)"
267,X20,0,"(1, 1)"
268,X20,0,"(1, 1)"
269,X20,0,"(1, 1)"
270,X20,0,"(1, 1)"
271,X20,0,"(1, 1)"
311,X04,1,"(0, 0)"
312,X04,1,"(0, 0)"
313,X04,1,"(0, 0)"
314,X04,1,"(0, 0)"
315,X04,1,"(0, 0)"
316,X04,1,"(0, 0)"
317,X04,1,"(0, 0)"
318,X04,1,"(0, 0)"
319,X04,1,"(0, 0)"
320,X04,1,"(0, 0)"
321,X04,1,"(0, 0)"
322,X04,1,"(0, 0)"
323,X04,1,"(0, 0)"
324,X04,1,"(0, 0)"
325,X04,1,"(0, 0)"
326,X04,1,"(0, 0)"
346,X19,0,"(1, 1)"
347,X19,0,"(1, 1)"
348,X19,0,"(1, 1)"
349,X19,0,"(1, 1)"
350,X19,0,"(1, 1)"
351,X19,0,"(1, 1)"
352,X19,0,"(1, 1)"
353,X19,0,"(1, 1)"
354,X19,0,"(1, 1)"
355,X19,0,"(1, 1)"
356,X19,0,"(1, 1)"
357,X19,0,"(1, 1)"
