traveling_time,waiting_time,headway
305,14,0.0
1415,334,0.0
337,274,0.0
1168,254,0.0
908,310,0.0
227,230,-3.990000000000009
227,170,-3.990000000000009
1662,170,-50.99000000000001
1549,30,-39.99000000000001
510,350,-29.99000000000001
1528,310,-6.990000000000009
210,250,-6.990000000000009
771,320,-6.990000000000009
1586,220,-57.99000000000001
1672,160,-92.99000000000001
938,120,-72.99000000000001
362,80,-33.99000000000001
1772,20,-46.99000000000001
1772,20,5.009999999999991
453,310,-4.990000000000009
1857,270,-82.00999999999999
89,250,-77.00999999999999
296,250,-77.01000000000022
240,50,-59.0
182,326,-45.0
306,6,-39.0
1582,6,-81.0
1152,352,-141.0
74,312,-117.0
276,283,-122.0
535,283,-108.0
1299,283,-68.0
882,263,-62.0
1019,203,-57.0
411,123,-19.0
1410,23,96.0
1481,240,-71.0
195,200,75.0
1481,180,65.0
479,171,43.0
863,171,7.989999999999782
479,91,15.989999999999782
1619,51,6.989999999999782
1619,51,10.989999999999782
1450,343,14.989999999999782
1503,303,45.0
576,243,71.0
922,23,68.0
922,3,39.0
610,327,74.0
1347,287,81.0
1621,267,107.0
1621,247,189.0
1621,207,219.0
257,27,221.0
164,7,354.0
88,343,314.0
1876,303,358.0
152,183,351.0
1665,351,353.0
972,311,39.98999999999978
972,111,31.98999999999978
1152,51,2.9899999999997817
1411,31,27.98999999999978
1259,11,74.0
480,347,24.0
656,327,86.0
1088,167,192.0
832,47,162.0
1099,311,77.0
148,271,96.0
588,231,105.0
70,151,93.0
658,151,43.0
383,11,92.0
518,307,88.0
1401,307,65.0
1861,267,44.0
949,167,95.0
1540,167,125.0
1051,107,9.989999999999782
1861,87,-17.01000000000022
1540,67,42.98999999999978
1663,47,44.98999999999978
1540,27,36.0
1663,27,24.0
1460,357,87.0
290,337,135.0
1318,317,129.0
1719,257,131.0
955,237,123.0
1209,237,52.0
1318,217,66.0
1719,217,24.0
434,177,-7.0
1070,177,-60.0
1553,177,-71.0
1318,57,-85.0
550,357,-122.0
1413,357,-89.0
156,217,-32.01000000000022
1676,217,-75.01000000000022
627,157,-123.01000000000022
245,117,-148.01000000000022
212,352,-171.01000000000022
1731,112,-175.01000000000022
1535,12,-269.0
1615,337,-296.0
555,317,-259.0
622,277,-256.0
802,197,-223.0
802,77,-232.0
361,37,-220.0
724,172,-241.0
809,152,-233.0
403,92,-192.0
1712,92,-200.0
869,297,-246.0
1351,297,-366.0
797,277,-391.0
869,277,-50.01000000000022
1448,217,-97.01000000000022
797,37,-118.01000000000022
1367,347,-107.01000000000022
631,307,-85.01000000000022
1804,307,-114.0
800,247,-168.0
473,167,-208.0
566,127,-218.0
709,257,-218.0
532,237,-215.0
119,217,-140.0
794,217,-157.0
1822,77,-159.0
794,17,-138.0
372,344,-170.0
960,324,-159.0
960,304,-149.0
1192,264,-152.0
791,244,-234.0
960,244,-6.009999999998399
1272,244,-30.0099999999984
1361,184,62.9900000000016
446,104,53.0
1675,303,61.0
745,203,77.0
1227,203,83.0
745,183,76.0
856,183,74.0
1946,63,216.0
1941,267,183.0
721,187,207.0
721,107,397.0
1591,7,294.0
348,329,179.0
1236,289,188.0
634,209,207.0
702,209,253.0
282,129,229.0
634,129,226.0
210,49,17.9900000000016
481,405,-55.0099999999984
1955,345,-39.0099999999984
368,325,-109.0099999999984
481,145,-105.0
826,145,-121.0
368,125,-108.0
185,65,-150.0
1772,5,-98.0
590,252,-157.0
1132,232,-175.0
167,132,-133.0
590,132,-139.0
823,72,-92.0
547,455,-76.0
1502,455,-154.0
547,415,-50.0
1502,315,-177.0
264,295,-198.0
1169,195,-41.0
1412,135,-41.0099999999984
434,95,-52.0099999999984
675,95,-81.0099999999984
685,265,-81.0099999999984
605,65,-66.0099999999984
